ID,Name,Symbol,Color,Hex,Focus,Gemstones,Description
ascension,Ascension,🔺,Gold,#FFD700,Transcendence & Empowerment,"diamond, citrine, topaz",Ascend beyond mortal limits to achieve divine power temporarily.
circle,Circle,⭕,White,#FFFFFF,Bounded Magic & Protection,"moonstone, diamond",Create protective circles that contain and amplify magical energies.
cosmic,Cosmic,🌌,Deep Purple,#4B0082,Celestial Alignment,"tanzanite, sapphire, moonstone",Align with cosmic forces to channel star and celestial magic.
elemental,Elemental,🔥💧🌿⚡,Rainbow,#FF6B6B,Multi-Element Fusion,"tourmaline, emerald, ruby, sapphire",Converge multiple elemental forces into a unified powerful effect.
fountain,Fountain,⛲,Aqua,#00CED1,Continuous Flow,"prismarine_shard, aquamarine, lapis_lazuli",Generate continuous streams of magical energy or resources.
planar,Planar,🌐,Silver,#C0C0C0,Dimension Manipulation,"tanzanite, amethyst_shard",Manipulate the fabric between planes and dimensions.
reality,Reality,🔄,Prismatic,#E0E0E0,World Alteration,"diamond, nether_quartz, tourmaline",Anchor or alter the fundamental laws of reality itself.
resurrection,Resurrection,💫,Golden White,#FFF9E3,Life Restoration,"diamond, rhodonite, citrine",Restore life to the fallen through powerful necromantic rituals.
sacrifice,Sacrifice,🗡️,Crimson,#DC143C,Power through Offering,"ruby, carnelian, hematite",Offer blood or life force to gain immense temporary power.
summoning,Summoning,👻,Dark Purple,#6A0DAD,Entity Calling,"sodalite, tanzanite, hematite",Call forth powerful entities from other planes to aid you.
temporal,Temporal,⏰,Bronze,#CD7F32,Time Manipulation,"amethyst_shard, moonstone, nether_quartz","Bend time itself to freeze, accelerate, or reverse temporal flow."
transformation,Transformation,🦋,Violet,#8F00FF,Form Alteration,"jade, peridot, tourmaline",Transform yourself or others into different forms and shapes.
vortex,Vortex,🌀,Storm Gray,#708090,Spiraling Force,"apatite, sodalite",Create swirling vortexes of magical energy that pull and damage.
